tweets,date,city,user_location,id,link,texto_limpio,links,hashtags,mentions,emojis
"@CARLOSFMEJIA solo un detallito, facho hijueputa: asociar con tanta ligereza al ""candidato promotor del paro"" con tráfico de droga debería hacerle pensar en que el presidente actual tiene fotos muy de amiguis con un hijueputa narco, usted es así de hipócrita, pedazo de malparido?",2021-05-26 19:56:45,Bogotá,Bogotá,1397642884384444419,https://twitter.com/i/web/stuatus/1397642884384444419," solo un detallito, facho hijueputa: asociar con tanta ligereza al ""candidato promotor del paro"" con tráfico de droga debería hacerle pensar en que el presidente actual tiene fotos muy de amiguis con un hijueputa narco, usted es así de hipócrita, pedazo de malparido?",[],[],['@CARLOSFMEJIA'],[]
"@ClaudiaLopez Está metiendo la basura debajo de la alfombra antes de que llegue la @CIDH recuerde que usted también es responsable de la masacre contra nuestros jóvenes en el desarrollo del paro y de los hechos del 9, 10 y 11 de septiembre en la capital.",2021-05-26 19:55:08,Bogotá,"Bogotá, Colombia",1397642476647763977,https://twitter.com/i/web/stuatus/1397642476647763977," Está metiendo la basura debajo de la alfombra antes de que llegue la  recuerde que usted también es responsable de la masacre contra nuestros jóvenes en el desarrollo del paro y de los hechos del 9, 10 y 11 de septiembre en la capital.",[],[],"['@ClaudiaLopez', '@CIDH']",[]
"#EnVivo paro nacional 26M: así avanzan las marchas en Cali, Medellín y otras ciudades
https://t.co/JDR4bC04Dj https://t.co/EZoSwmeWDk",2021-05-26 19:55:03,Bogotá,"Bogotá, Colombia",1397642456364199938,https://twitter.com/i/web/stuatus/1397642456364199938," paro nacional 26M: así avanzan las marchas en Cali, Medellín y otras ciudades
 ","['https://t.co/JDR4bC04Dj', 'https://t.co/EZoSwmeWDk']",['#EnVivo'],[],[]
"@UnaperiodistaCo @nathflorez_ @ElJuliSastoque @DefenderLiberta Compañer@s, para ustedes todo el respeto y admiración por su trabajo, pero son imprecis@s en este caso. ¿Pueden afirmar que NO fueron invitados a las reuniones? ¿Afirman que NO hay organizaciones de DDHH y víctimas que sumaron al proyecto? El proyecto es anterior al paro.",2021-05-26 19:55:01,Bogotá,Bogotá.,1397642450051768324,https://twitter.com/i/web/stuatus/1397642450051768324,"    Compañer@s, para ustedes todo el respeto y admiración por su trabajo, pero son imprecis@s en este caso. ¿Pueden afirmar que NO fueron invitados a las reuniones? ¿Afirman que NO hay organizaciones de DDHH y víctimas que sumaron al proyecto? El proyecto es anterior al paro.",[],[],"['@UnaperiodistaCo', '@nathflorez_', '@ElJuliSastoque', '@DefenderLiberta']",[]
Eso del amor se los dejo a ustedes yo mejor me voy al paro.,2021-05-26 19:53:19,Bogotá,"Chía, Colombia",1397642019636486151,https://twitter.com/i/web/stuatus/1397642019636486151,Eso del amor se los dejo a ustedes yo mejor me voy al paro.,[],[],[],[]
Ya ESTAN DETENIDOS POR BLOQUEOS y terrorismo ? CGT SE sale Del Paro #ConmocionInteriorYA https://t.co/CYpm2ypr8z,2021-05-26 19:53:07,Bogotá,"Cundinamarca, Colombia",1397641970173063172,https://twitter.com/i/web/stuatus/1397641970173063172,Ya ESTAN DETENIDOS POR BLOQUEOS y terrorismo ? CGT SE sale Del Paro  ,['https://t.co/CYpm2ypr8z'],['#ConmocionInteriorYA'],[],[]
"@rcnradio Y en dónde putas están esos policías buenos?? Porque en 1 mes de paro, lo q se ha visto es otra cosa! Y si el dirige a los buenos entonces no dirige a nadie, q general tan mediocre!",2021-05-26 19:50:58,Bogotá,Bogotá,1397641430542299136,https://twitter.com/i/web/stuatus/1397641430542299136," Y en dónde putas están esos policías buenos?? Porque en 1 mes de paro, lo q se ha visto es otra cosa! Y si el dirige a los buenos entonces no dirige a nadie, q general tan mediocre!",[],[],['@rcnradio'],[]
Que llamen a los convocantes de la marcha del silencio a participar en los diálogos del gobierno con el comité del paro! Tienen más poder de convocatoria y representación que los del comité del paro https://t.co/7xd4urNdpB,2021-05-26 19:48:37,Bogotá,"Bogotá, Colombia",1397640838726000640,https://twitter.com/i/web/stuatus/1397640838726000640,Que llamen a los convocantes de la marcha del silencio a participar en los diálogos del gobierno con el comité del paro! Tienen más poder de convocatoria y representación que los del comité del paro ,['https://t.co/7xd4urNdpB'],[],[],[]
Fajardo y sus rulos están con los malparidos de paro NO LO OLVIDAREMOS,2021-05-26 19:47:45,Bogotá,Bogota,1397640621385465861,https://twitter.com/i/web/stuatus/1397640621385465861,Fajardo y sus rulos están con los malparidos de paro NO LO OLVIDAREMOS,[],[],[],[]
"#NoticiasCapital | Desde la estación de Los Héroes, Mónica Silva, trabajadora informal, cuenta cómo le ha afectado la situación del paro en su movilidad. https://t.co/VOsrNkAQyP",2021-05-26 19:45:13,Bogotá,"Bogotá, Colombia",1397639983251480581,https://twitter.com/i/web/stuatus/1397639983251480581," | Desde la estación de Los Héroes, Mónica Silva, trabajadora informal, cuenta cómo le ha afectado la situación del paro en su movilidad. ",['https://t.co/VOsrNkAQyP'],['#NoticiasCapital'],[],[]
"A dos días de cumplirse el mes de protestas, este 26 miércoles habrá marchas en las principales ciudades del país. Desde el Comité del Paro denominaron este día como la ‘toma de capitales’ para hacer la mayor movilización del año.
https://t.co/tKF2TuPprj",2021-05-26 19:45:03,Bogotá,"Bogotá, Colombia",1397639939269988365,https://twitter.com/i/web/stuatus/1397639939269988365,"A dos días de cumplirse el mes de protestas, este 26 miércoles habrá marchas en las principales ciudades del país. Desde el Comité del Paro denominaron este día como la ‘toma de capitales’ para hacer la mayor movilización del año.
",['https://t.co/tKF2TuPprj'],[],[],[]
#NoticiasCapital | En la Plaza de Bolívar se encuentran varios sindicatos para protestar en esta jornada de paro nacional. Angélica Fresneda es una maestra que también se unió a las marchas. https://t.co/XCJyzNZYqZ,2021-05-26 19:44:49,Bogotá,"Bogotá, Colombia",1397639882877677568,https://twitter.com/i/web/stuatus/1397639882877677568, | En la Plaza de Bolívar se encuentran varios sindicatos para protestar en esta jornada de paro nacional. Angélica Fresneda es una maestra que también se unió a las marchas. ,['https://t.co/XCJyzNZYqZ'],['#NoticiasCapital'],[],[]
"@GRULLACARIBE @johnmariocadavi @jbagbam Se reunió en su residencia en Bogotá, con la cúpula del nefasto Comité de paro, el es uno de los hombres orquesta que promueven el paro",2021-05-26 19:44:29,Bogotá,sur América,1397639799570370561,https://twitter.com/i/web/stuatus/1397639799570370561,"   Se reunió en su residencia en Bogotá, con la cúpula del nefasto Comité de paro, el es uno de los hombres orquesta que promueven el paro",[],[],"['@GRULLACARIBE', '@johnmariocadavi', '@jbagbam']",[]
"#NoticiasCapital | @EmilioJArchila, alto consejero presidencial para la Estabilización y la Consolidación, es el nuevo vocero del Gobierno para avanzar en las negociaciones con el Comité del Paro. https://t.co/f5ycoUxVHD",2021-05-26 19:44:15,Bogotá,"Bogotá, Colombia",1397639741785399303,https://twitter.com/i/web/stuatus/1397639741785399303," |  alto consejero presidencial para la Estabilización y la Consolidación, es el nuevo vocero del Gobierno para avanzar en las negociaciones con el Comité del Paro. ",['https://t.co/f5ycoUxVHD'],['#NoticiasCapital'],"['@EmilioJArchila,']",[]
@Nubial4 @laorejaroja Duelale!!! Uribe paraco hpta!!! Jajajaja viva el paro nacional,2021-05-26 19:43:53,Bogotá,"Bogotá, Colombia",1397639646314631171,https://twitter.com/i/web/stuatus/1397639646314631171,  Duelale!!! Uribe paraco hpta!!! Jajajaja viva el paro nacional,[],[],"['@Nubial4', '@laorejaroja']",[]
"@papoaminCD @GustavoBolivar Contrario a la gente de bien que marcha con sus Toyotas blancas sin placas algunos y otros con armas....los que decimos ¡Viva el paro nacional! Somos el lado perjudicado de la inequidad, esa alimentada y engrandecida con más de  20 años de malos gobiernos. https://t.co/HzkPQrsnXU",2021-05-26 19:38:33,Bogotá,Bogotá,1397638304661659648,https://twitter.com/i/web/stuatus/1397638304661659648,"  Contrario a la gente de bien que marcha con sus Toyotas blancas sin placas algunos y otros con armas....los que decimos ¡Viva el paro nacional! Somos el lado perjudicado de la inequidad, esa alimentada y engrandecida con más de  20 años de malos gobiernos. ",['https://t.co/HzkPQrsnXU'],[],"['@papoaminCD', '@GustavoBolivar']",[]
